time,w,a,s,d
11226.139094084,0.9,178.98,99.03,0.18
11226.229361829,0.93,1.76,152.96,0.06
11226.454496376,0.79,45.43,130.96,0.03
11226.544433429,0.7,161.73,73.97,0.09
11226.634743804,0.69,236.72,12.42,0.23
11226.728620072,0.66,243.03,0.27,0.22
11226.818832303,0.63,236.91,0.08,1.95
11226.908999679,0.58,142.92,0.08,51.37
11226.999201661,0.68,23.15,0.08,200.98
11227.089347867,0.62,0.68,0.03,277.99
11227.179283527,0.75,0.61,1.54,272.26
11227.269186026,0.69,0.37,30.33,252.67
11227.359570951,0.74,0.22,93.73,175.57
11227.449781639,0.66,0.17,120.0,46.41
11227.539967629,0.66,0.25,118.09,0.07
11227.629773456,0.41,0.11,104.96,0.45
11227.720039769,14.5,0.04,45.29,0.89
11227.809869019,82.0,0.12,3.42,0.91
11227.90018733,142.01,3.02,0.08,0.91
11227.994021138,136.24,42.46,0.05,1.16
11228.084332735,100.26,120.79,0.11,1.25
11228.174598766,61.6,137.79,0.38,0.41
11228.264744392,19.18,124.16,0.15,3.85
11228.354997981,0.9,124.02,0.14,72.21
11228.44509784,1.01,59.27,0.24,206.05
11228.535289221,0.96,4.62,0.21,241.3
11228.625299362,0.83,1.05,0.58,233.78
11228.715566676,0.89,0.8,11.14,215.17
11228.805499362,0.91,0.67,77.43,132.44
11228.895526825,0.97,0.57,141.42,24.91
11228.985705231,0.94,0.5,143.72,0.75
11229.079698719,0.86,0.4,139.77,0.03
11229.169892215,0.85,0.38,131.01,0.06
11229.259925098,3.59,0.37,82.63,0.17
11229.349810013,44.62,0.34,17.93,0.15
11229.440218183,108.95,0.34,0.79,0.0
11229.530074825,140.46,0.67,0.34,0.02
11229.620570058,171.42,47.61,0.19,0.12
11229.710641193,214.92,115.83,0.13,0.1
11229.981046269,0.27,301.14,0.17,0.03
11230.071211191,0.13,0.25,0.11,0.11
11230.13643039,20.21,0.25,0.28,0.1
11230.226405224,89.66,110.55,0.53,0.04
11230.312604331,162.18,3.79,0.67,0.19
11230.402357298,184.93,102.96,0.43,0.16
11230.763076225,0.66,14.13,10.44,0.17
11230.853038897,0.62,178.4,57.49,0.14
11230.939341979,0.67,0.25,95.72,0.16
11231.029270797,0.79,0.25,97.19,0.18
11231.119242425,0.41,0.25,91.55,0.12
11231.209494751,13.93,0.25,94.57,0.01
11231.299289757,72.28,0.25,53.25,0.08
11231.389667841,125.63,0.25,5.29,0.0
11231.479799579,135.46,0.25,0.58,2.3
11231.56594259,115.13,0.65,0.52,35.42
11231.65582993,96.5,0.25,0.49,104.13
11231.746113064,53.82,0.25,0.22,127.91
11231.836030099,7.38,0.25,0.22,109.11
11231.926357747,10.25,0.25,0.29,73.09
11232.01624143,65.19,0.25,0.38,24.59
11232.106519965,115.49,0.25,0.35,1.76
11232.192411224,118.07,0.25,0.33,0.01
11232.28233387,102.68,0.25,19.06,0.14
11232.372743492,86.36,0.25,92.6,0.02
11232.462699841,68.09,0.25,132.27,0.03
11232.553036165,26.42,0.25,115.52,0.14
11232.643217317,1.55,3677.79,101.26,0.05
11232.732942272,0.46,0.25,125.81,0.07
11232.827112983,0.36,0.23,132.42,0.08
11232.917311358,0.44,0.04,54.52,0.02
11233.011379557,0.26,1138.73,12.95,0.21
11233.101857547,0.16,38.97,94.03,0.04
11233.191981402,0.22,0.25,158.83,0.05
11233.286161551,0.28,0.25,145.73,0.06
11233.376471896,0.28,0.25,137.04,0.0
11233.466324621,0.34,0.25,129.08,0.21
11233.560491505,0.49,0.25,118.62,0.18
11233.650415354,0.35,0.25,108.63,0.18
11233.744654625,0.29,0.25,86.34,0.15
11233.835094122,0.3,0.25,40.84,0.03
11233.925163023,0.34,0.25,5.97,0.01
11234.019117148,0.29,0.25,0.27,0.04
11234.109201608,0.26,0.25,0.33,0.03
11234.199475676,0.23,0.25,0.2,0.14
11234.293779277,0.28,0.25,0.24,0.08
11234.384054356,0.4,0.25,0.08,0.18
11234.474081268,0.29,0.25,0.02,0.05
11234.568200853,0.13,0.25,0.25,0.23
11234.65817171,0.14,0.25,0.16,0.31
11234.752422051,0.18,0.25,0.08,0.04
11234.842863303,0.21,0.25,0.14,0.22
11234.932433726,0.18,0.25,0.1,0.15
